Model,Accuracy,Precision,Recall,F1-Score,AUC,Rank
Decision Tree,0.8477306002928258,0.7375,0.6555555555555556,0.6941176470588235,0.9140324718356527,1
Random Forest,0.8448023426061494,0.8135593220338984,0.5333333333333333,0.6442953020134228,0.9107355864811132,2
Neural Network,0.7745241581259151,0.5984848484848485,0.4388888888888889,0.5064102564102564,0.7634084382593329,3
